source,has_success,has_summary,has_parquet,total_rows_read,total_rows_written,elapsed_seconds,clean_time_utc,total_rows,valid_position,valid_time,ground_points,valid_speed,valid_heading,valid_icao,quality_good,quality_warn,quality_bad,unique_icao,sparse_tracks
adsb_data_20251211_150742,True,True,True,4383088,4383088,77.53,2026-06-08T08:22:37.144359+00:00,4383088,4383075,4383088,285193,4382149,4380379,4383088,4380273,1956,859,3114,52
adsb_data_20251211_154337,True,True,True,4383471,4383471,83.39,2026-06-08T08:24:01.624517+00:00,4383471,4383451,4383471,284075,4383123,4381541,4383471,4381433,1758,280,3100,46
adsb_data_20251211_161940,True,True,True,4384538,4384538,98.8,2026-06-08T08:25:46.360979+00:00,4384538,4384527,4384538,280566,4383860,4381429,4384538,4381318,2631,589,3073,46
adsb_data_20251211_165501,True,True,True,4383382,4383382,75.81,2026-06-08T08:27:03.004943+00:00,4383382,4383373,4383382,271751,4382230,4380061,4383382,4379969,2335,1078,3116,36
adsb_data_20251211_173111,True,True,True,4383388,4383388,74.85,2026-06-08T08:28:18.668986+00:00,4383388,4383304,4383388,291542,4382546,4379914,4383388,4379686,2920,782,3066,47
adsb_data_20251211_180650,True,True,True,4381158,4381158,74.96,2026-06-08T08:29:34.449769+00:00,4381158,4381143,4381158,269812,4379857,4378409,4381158,4378299,1638,1221,2938,31
adsb_data_20251211_184219,True,True,True,4381351,4381351,78.33,2026-06-08T08:30:53.603232+00:00,4381351,4381341,4381351,290566,4380371,4379469,4381351,4379415,990,946,2854,40
adsb_data_20251211_191554,True,True,True,4376940,4376940,104.79,2026-06-08T08:32:39.344010+00:00,4376940,4376921,4376940,284660,4376339,4375450,4376940,4375387,977,576,2812,27
adsb_data_20251211_194925,True,True,True,4382240,4382240,102.44,2026-06-08T08:34:23.027885+00:00,4382240,4382223,4382240,297504,4381633,4379847,4382240,4379745,1956,539,2799,38
adsb_data_20251211_202226,True,True,True,4380179,4380179,116.48,2026-06-08T08:36:20.788088+00:00,4380179,4380163,4380179,262910,4379522,4376501,4380179,4376454,3083,642,2715,33
adsb_data_20251211_205631,True,True,True,4380150,4380150,101.65,2026-06-08T08:38:03.491079+00:00,4380150,4380134,4380150,267817,4377906,4374861,4380150,4374824,3087,2239,2692,45
adsb_data_20251211_213045,True,True,True,4379940,4379940,106.51,2026-06-08T08:39:51.079367+00:00,4379940,4379923,4379940,240944,4377986,4373345,4379940,4373311,4675,1954,2566,32
adsb_data_20251211_220443,True,True,True,4374789,4374789,105.44,2026-06-08T08:41:37.567146+00:00,4374789,4374777,4374789,230399,4373557,4371338,4374789,4371316,2239,1234,2365,28
adsb_data_20251211_223934,True,True,True,4373045,4373045,98.96,2026-06-08T08:43:17.806577+00:00,4373045,4373028,4373045,222178,4372780,4370465,4373045,4370428,2355,262,2107,24
adsb_data_20251211_231410,True,True,True,4368127,4368127,101.65,2026-06-08T08:45:00.559378+00:00,4368127,4368103,4368127,223192,4367973,4364881,4368127,4364837,3132,158,1777,21
adsb_data_20251211_234725,True,True,True,4370401,4370401,103.12,2026-06-08T08:46:44.755795+00:00,4370401,4370378,4370401,243004,4370196,4364855,4370401,4364791,5423,187,1509,24
adsb_data_20251212_003158,True,True,True,4373949,4373949,101.33,2026-06-08T08:48:27.092291+00:00,4373949,4373928,4373949,227761,4373700,4368804,4373949,4368736,4990,223,1203,12
adsb_data_20251212_013524,True,True,True,4378227,4378227,94.51,2026-06-08T08:50:02.497362+00:00,4378227,4378221,4378227,177464,4376288,4366620,4378227,4366547,9802,1878,972,11
adsb_data_20251212_025230,True,True,True,4384282,4384282,70.93,2026-06-08T08:51:14.236011+00:00,4384282,4384272,4384282,138043,4383077,4379181,4384282,4379090,4058,1134,924,6
adsb_data_20251212_041119,True,True,True,4383064,4383064,71.82,2026-06-08T08:52:26.850640+00:00,4383064,4383051,4383064,137357,4377587,4372552,4383064,4372377,5359,5328,894,6
adsb_data_20251212_053003,True,True,True,4389429,4389429,70.54,2026-06-08T08:53:38.180601+00:00,4389429,4389424,4389429,285047,4386506,4379348,4389429,4379223,7398,2808,1333,36
adsb_data_20251212_070104,True,True,True,4395610,4395610,71.51,2026-06-08T08:54:50.541514+00:00,4395610,4395593,4395610,340256,4394546,4388274,4395610,4388028,6730,852,1755,43
adsb_data_20251212_074341,True,True,True,4392176,4392176,71.27,2026-06-08T08:56:02.637191+00:00,4392176,4392160,4392176,307015,4391281,4389270,4392176,4389184,2151,841,2292,35
adsb_data_20251212_081713,True,True,True,4386443,4386443,74.94,2026-06-08T08:57:18.409329+00:00,4386443,4386433,4386443,254610,4385445,4384231,4386443,4384169,1318,956,2717,37
adsb_data_20251212_085106,True,True,True,4383945,4383945,74.96,2026-06-08T08:58:34.248120+00:00,4383945,4383930,4383945,256940,4382931,4381720,4383945,4381647,1327,971,3040,47
adsb_data_20251212_092740,True,True,True,4384701,4384701,73.24,2026-06-08T08:59:48.329518+00:00,4384701,4384688,4384701,265611,4383908,4381525,4384701,4381415,2577,709,3109,39
adsb_data_20251212_100254,True,True,True,4381390,4381390,74.15,2026-06-08T09:01:03.332466+00:00,4381390,4381378,4381390,266865,4379002,4376394,4381390,4376283,2806,2301,3093,40
adsb_data_20251212_103725,True,True,True,4382013,4382013,75.5,2026-06-08T09:02:19.660490+00:00,4382013,4381991,4382013,278697,4378549,4377135,4382013,4377007,1628,3378,3163,37
adsb_data_20251212_111453,True,True,True,4382249,4382249,72.42,2026-06-08T09:03:32.886078+00:00,4382249,4382236,4382249,277600,4381242,4380530,4382249,4380472,804,973,3129,47
adsb_data_20251212_115055,True,True,True,4381449,4381449,73.54,2026-06-08T09:04:47.264732+00:00,4381449,4381439,4381449,281184,4381234,4379827,4381449,4379731,1579,139,3145,52
adsb_data_20251212_122615,True,True,True,4381666,4381666,74.52,2026-06-08T09:06:02.585587+00:00,4381666,4381643,4381666,264728,4380639,4379198,4381666,4379154,1501,1011,3203,64
adsb_data_20251212_130137,True,True,True,4380381,4380381,75.55,2026-06-08T09:07:18.941182+00:00,4380381,4380340,4380381,260625,4378515,4377538,4380381,4377511,1011,1859,3212,47
adsb_data_20251212_133556,True,True,True,4382012,4382012,77.18,2026-06-08T09:08:36.932976+00:00,4382012,4381988,4382012,252556,4380432,4379483,4382012,4379386,1111,1515,3285,51
adsb_data_20251212_141039,True,True,True,4380138,4380138,75.35,2026-06-08T09:09:53.097935+00:00,4380138,4380127,4380138,255403,4378884,4378146,4380138,4378061,886,1191,3301,41
adsb_data_20251212_144749,True,True,True,4381235,4381235,73.44,2026-06-08T09:11:07.394754+00:00,4381235,4381207,4381235,267941,4379607,4379142,4381235,4379075,549,1611,3256,52
adsb_data_20251212_152450,True,True,True,4381997,4381997,71.38,2026-06-08T09:12:19.555179+00:00,4381997,4381945,4381997,290323,4381258,4380522,4381997,4380402,874,721,3170,38
adsb_data_20251212_160009,True,True,True,4379659,4379659,73.58,2026-06-08T09:13:33.932907+00:00,4379659,4379626,4379659,283511,4377942,4376079,4379659,4375973,2055,1631,3144,41
adsb_data_20251212_163757,True,True,True,4380599,4380599,74.95,2026-06-08T09:14:49.688323+00:00,4380599,4380586,4380599,291945,4379928,4378805,4380599,4378729,1249,621,3096,44
adsb_data_20251212_171259,True,True,True,4381732,4381732,73.59,2026-06-08T09:16:04.132674+00:00,4381732,4381726,4381732,299481,4380741,4379626,4381732,4379589,1177,966,3103,33
adsb_data_20251212_174755,True,True,True,4380816,4380816,73.42,2026-06-08T09:17:18.333717+00:00,4380816,4380804,4380816,283125,4379348,4378365,4380816,4378331,1027,1458,3033,41
adsb_data_20251212_182256,True,True,True,4376685,4376685,74.15,2026-06-08T09:18:33.287719+00:00,4376685,4376675,4376685,265653,4375121,4374176,4376685,4374124,1029,1532,2934,46
adsb_data_20251212_185617,True,True,True,4377728,4377728,72.71,2026-06-08T09:19:46.845925+00:00,4377728,4377711,4377728,264850,4376906,4376186,4377728,4376149,760,819,2857,32
adsb_data_20251212_193013,True,True,True,4375288,4375288,73.73,2026-06-08T09:21:01.605150+00:00,4375288,4375279,4375288,298879,4374760,4374104,4375288,4374064,718,506,2881,41
adsb_data_20251212_200441,True,True,True,4377582,4377582,73.96,2026-06-08T09:22:16.383818+00:00,4377582,4377570,4377582,293340,4376991,4375997,4377582,4375960,1044,578,2815,32
adsb_data_20251212_203922,True,True,True,4376760,4376760,75.67,2026-06-08T09:23:32.925508+00:00,4376760,4376751,4376760,268599,4376237,4374730,4376760,4374699,1551,510,2764,40
adsb_data_20251212_211437,True,True,True,4377871,4377871,73.22,2026-06-08T09:24:46.994077+00:00,4377871,4377855,4377871,268218,4377108,4376015,4377871,4375973,1145,753,2702,24
adsb_data_20251212_214851,True,True,True,4376499,4376499,70.86,2026-06-08T09:25:58.694109+00:00,4376499,4376490,4376499,253578,4375579,4373443,4376499,4373409,2186,904,2639,31
adsb_data_20251212_222256,True,True,True,4372704,4372704,72.22,2026-06-08T09:27:11.712986+00:00,4372704,4372692,4372704,238121,4372416,4370875,4372704,4370846,1575,283,2438,30
adsb_data_20251212_225714,True,True,True,4369251,4369251,70.03,2026-06-08T09:28:22.506532+00:00,4369251,4369240,4369251,214749,4369126,4367697,4369251,4367667,1467,117,2121,22
adsb_data_20251212_233054,True,True,True,4369631,4369631,70.83,2026-06-08T09:29:34.148677+00:00,4369631,4369622,4369631,234583,4369495,4365751,4369631,4365717,3794,120,1804,18
adsb_data_20251213_000404,True,True,True,4368891,4368891,70.7,2026-06-08T09:30:45.666494+00:00,4368891,4368878,4368891,259106,4368172,4363372,4368891,4363314,4890,687,1508,25
adsb_data_20251213_004816,True,True,True,4379598,4379598,70.86,2026-06-08T09:31:57.357714+00:00,4379598,4379591,4379598,246557,4378478,4369748,4379598,4369674,8864,1060,1198,16
adsb_data_20251213_015434,True,True,True,4383288,4383288,69.8,2026-06-08T09:33:07.993161+00:00,4383288,4383280,4383288,162958,4382942,4375441,4383288,4375351,7665,272,942,7
adsb_data_20251213_031449,True,True,True,4384923,4384923,73.15,2026-06-08T09:34:21.942359+00:00,4384923,4384912,4384923,139194,4383260,4379188,4384923,4379071,4284,1568,932,8
adsb_data_20251213_043551,True,True,True,4382549,4382549,69.66,2026-06-08T09:35:32.426696+00:00,4382549,4382546,4382549,161749,4379424,4373033,4382549,4372809,6833,2907,928,14
adsb_data_20251213_060036,True,True,True,4394039,4394039,69.51,2026-06-08T09:36:42.761721+00:00,4394039,4394027,4394039,346558,4390276,4385177,4394039,4384952,5525,3562,1450,32
adsb_data_20251213_071740,True,True,True,4391052,4391052,70.97,2026-06-08T09:37:54.538387+00:00,4391052,4391039,4391052,303955,4388001,4386494,4391052,4386319,1831,2902,1849,34
adsb_data_20251213_075351,True,True,True,4391060,4391060,72.83,2026-06-08T09:39:08.188604+00:00,4391060,4391041,4391060,301825,4388912,4387021,4391060,4386835,2225,2000,2419,39
adsb_data_20251213_082713,True,True,True,4384435,4384435,73.5,2026-06-08T09:40:22.498161+00:00,4384435,4384413,4384435,232088,4382958,4380868,4384435,4380747,2288,1400,2801,50
adsb_data_20251213_090032,True,True,True,4384166,4384166,74.55,2026-06-08T09:41:37.825020+00:00,4384166,4384153,4384166,259630,4383174,4381047,4384166,4380927,2341,898,3059,52
adsb_data_20251213_093437,True,True,True,4384447,4384447,74.89,2026-06-08T09:42:53.495929+00:00,4384447,4384431,4384447,289090,4384114,4382484,4384447,4382391,1784,272,3162,45
adsb_data_20251213_100851,True,True,True,4382831,4382831,72.7,2026-06-08T09:44:06.988149+00:00,4382831,4382815,4382831,275694,4382060,4380145,4382831,4380064,2045,722,3088,51
adsb_data_20251213_104243,True,True,True,4381729,4381729,73.01,2026-06-08T09:45:20.837453+00:00,4381729,4381718,4381729,273969,4380390,4378456,4381729,4378370,2084,1275,3146,48
adsb_data_20251213_111644,True,True,True,4381525,4381525,75.91,2026-06-08T09:46:37.601172+00:00,4381525,4381517,4381525,281543,4380220,4379363,4381525,4379291,985,1249,3114,46
adsb_data_20251213_115052,True,True,True,4384111,4384111,73.73,2026-06-08T09:47:52.148618+00:00,4384111,4384093,4384111,287474,4382706,4381843,4384111,4381667,1179,1265,3069,46
adsb_data_20251213_122505,True,True,True,4382554,4382554,75.38,2026-06-08T09:49:08.300984+00:00,4382554,4382542,4382554,267555,4381578,4379603,4382554,4379409,2339,806,3106,40
adsb_data_20251213_125910,True,True,True,4378978,4378978,76.65,2026-06-08T09:50:25.793331+00:00,4378978,4378964,4378978,247563,4378286,4377507,4378978,4377387,991,600,3120,47
adsb_data_20251213_133330,True,True,True,4381723,4381723,74.58,2026-06-08T09:51:41.234967+00:00,4381723,4381689,4381723,267492,4380488,4380032,4381723,4379825,802,1096,3258,44
adsb_data_20251213_140738,True,True,True,4378738,4378738,76.05,2026-06-08T09:52:58.088587+00:00,4378738,4378725,4378738,250736,4377760,4376151,4378738,4375997,1891,850,3236,46
adsb_data_20251213_144230,True,True,True,4381529,4381529,76.62,2026-06-08T09:54:15.551446+00:00,4381529,4381520,4381529,255232,4380824,4379934,4381529,4379757,1226,546,3195,40
adsb_data_20251213_151747,True,True,True,4380000,4380000,78.44,2026-06-08T09:55:34.848187+00:00,4380000,4379990,4380000,231617,4379609,4376773,4380000,4376706,2950,344,3110,50
adsb_data_20251213_155305,True,True,True,4381828,4381828,102.71,2026-06-08T09:57:18.371938+00:00,4381828,4381813,4381828,252117,4381556,4380409,4381828,4380306,1323,199,3163,40
adsb_data_20251213_162749,True,True,True,4381177,4381177,140.94,2026-06-08T09:59:40.145065+00:00,4381177,4381159,4381177,250188,4379082,4378067,4381177,4378003,1107,2067,3191,54
adsb_data_20251213_170316,True,True,True,4380096,4380096,123.74,2026-06-08T10:01:44.725004+00:00,4380096,4380073,4380096,238243,4378249,4377557,4380096,4377507,746,1843,3075,44
adsb_data_20251213_173815,True,True,True,4382247,4382247,117.03,2026-06-08T10:03:43.990113+00:00,4382247,4382236,4382247,271684,4380416,4379704,4382247,4379612,874,1761,3029,36
adsb_data_20251213_181252,True,True,True,4377177,4377177,112.46,2026-06-08T10:05:40.277556+00:00,4377177,4377168,4377177,243795,4376186,4374486,4377177,4374380,1894,903,2908,27
adsb_data_20251213_184646,True,True,True,4383163,4383163,85.0,2026-06-08T10:07:06.089788+00:00,4383163,4383149,4383163,276926,4382508,4381146,4383163,4381028,1570,565,2871,36
adsb_data_20251213_192054,True,True,True,4377702,4377702,101.1,2026-06-08T10:08:48.023218+00:00,4377702,4377690,4377702,270966,4377497,4375959,4377702,4375912,1608,182,2807,43
adsb_data_20251213_195519,True,True,True,4379899,4379899,159.19,2026-06-08T10:11:29.796972+00:00,4379899,4379879,4379899,276733,4379442,4378518,4379899,4378424,1072,403,2812,36
adsb_data_20251213_202931,True,True,True,4377925,4377925,117.07,2026-06-08T10:13:31.804472+00:00,4377925,4377917,4377925,235280,4377334,4376390,4377925,4376345,1018,562,2725,38
adsb_data_20251213_210319,True,True,True,4379929,4379929,75.19,2026-06-08T10:14:47.801337+00:00,4379929,4379920,4379929,246059,4378492,4376471,4379929,4376435,2075,1419,2712,36
adsb_data_20251213_213818,True,True,True,4377244,4377244,72.96,2026-06-08T10:16:01.639068+00:00,4377244,4377234,4377244,237740,4376000,4374245,4377244,4374213,1799,1232,2562,27
adsb_data_20251213_221249,True,True,True,4374177,4374177,91.86,2026-06-08T10:17:34.337732+00:00,4374177,4374160,4374177,215145,4374014,4370455,4374177,4370413,3609,155,2290,25
adsb_data_20251213_224715,True,True,True,4375744,4375744,133.82,2026-06-08T10:19:51.761287+00:00,4375744,4375725,4375744,212354,4375602,4366925,4375744,4366870,8749,125,1984,16
adsb_data_20251213_232055,True,True,True,4372467,4372467,75.84,2026-06-08T10:21:12.055151+00:00,4372467,4372455,4372467,230607,4372238,4364413,4372467,4364356,7915,196,1689,18
adsb_data_20251213_235604,True,True,True,4374898,4374898,171.25,2026-06-08T10:24:04.091671+00:00,4374898,4374882,4374898,256573,4374121,4364629,4374898,4364539,9640,719,1379,15
adsb_data_20251214_004558,True,True,True,4383482,4383482,71.03,2026-06-08T10:25:16.022524+00:00,4383482,4383459,4383482,235127,4382248,4372494,4383482,4372341,10014,1127,1089,12
adsb_data_20251214_020534,True,True,True,4389833,4389833,70.36,2026-06-08T10:26:27.238878+00:00,4389833,4389824,4389833,157249,4388895,4382546,4389833,4382369,6685,779,874,10
adsb_data_20251214_032858,True,True,True,4387624,4387624,69.63,2026-06-08T10:27:37.642377+00:00,4387624,4387620,4387624,121882,4385740,4380355,4387624,4380172,5743,1709,886,13
adsb_data_20251214_045231,True,True,True,4386447,4386447,68.66,2026-06-08T10:28:47.128344+00:00,4386447,4386445,4386447,162088,4379587,4374549,4386447,4374429,5274,6744,940,26
adsb_data_20251214_062411,True,True,True,4402074,4402074,121.55,2026-06-08T10:30:49.481223+00:00,4402074,4402056,4402074,424412,4400484,4396502,4402074,4396337,4276,1461,1597,37
adsb_data_20251214_072609,True,True,True,4395845,4395845,111.21,2026-06-08T10:32:45.627064+00:00,4395845,4395817,4395845,325111,4394594,4393695,4395845,4393482,1269,1094,2070,41
adsb_data_20251214_075949,True,True,True,4390361,4390361,71.46,2026-06-08T10:33:57.912532+00:00,4390361,4390348,4390361,295236,4389110,4386932,4390361,4386795,2426,1140,2653,35
adsb_data_20251214_083307,True,True,True,4386459,4386459,72.77,2026-06-08T10:35:11.533964+00:00,4386459,4386449,4386459,258232,4384355,4383547,4386459,4383425,1038,1996,3008,47
adsb_data_20251214_090602,True,True,True,4384190,4384190,75.39,2026-06-08T10:36:27.715693+00:00,4384190,4384163,4384190,271674,4382586,4380846,4384190,4380728,1946,1516,3190,48
adsb_data_20251214_093920,True,True,True,4387833,4387833,87.44,2026-06-08T10:37:56.006251+00:00,4387833,4387817,4387833,291186,4386872,4385892,4387833,4385563,1606,664,3309,45
adsb_data_20251214_101219,True,True,True,4384394,4384394,74.79,2026-06-08T10:39:11.664276+00:00,4384394,4384381,4384394,281600,4383474,4382636,4384394,4382447,1190,757,3310,34
adsb_data_20251214_104534,True,True,True,4384385,4384385,74.89,2026-06-08T10:40:27.325952+00:00,4384385,4384357,4384385,272602,4382432,4381694,4384385,4381573,924,1888,3383,38
adsb_data_20251214_111914,True,True,True,4383390,4383390,77.01,2026-06-08T10:41:45.356081+00:00,4383390,4383360,4383390,284903,4380923,4379980,4383390,4379735,1409,2246,3392,41
adsb_data_20251214_115405,True,True,True,4382297,4382297,74.76,2026-06-08T10:43:01.013488+00:00,4382297,4382293,4382297,259558,4380924,4380298,4382297,4379993,1228,1076,3329,44
adsb_data_20251214_122836,True,True,True,4383011,4383011,79.92,2026-06-08T10:44:21.759274+00:00,4383011,4382993,4383011,258967,4381285,4379501,4383011,4379372,2010,1629,3315,45
adsb_data_20251214_130243,True,True,True,4380992,4380992,96.16,2026-06-08T10:45:58.739430+00:00,4380992,4380969,4380992,242782,4379169,4378833,4380992,4378601,756,1635,3321,52
adsb_data_20251214_133649,True,True,True,4384063,4384063,108.57,2026-06-08T10:47:48.395460+00:00,4384063,4384041,4384063,261163,4380592,4380096,4384063,4379735,1200,3128,3441,54
adsb_data_20251214_141100,True,True,True,4382293,4382293,76.5,2026-06-08T10:49:05.736689+00:00,4382293,4382277,4382293,263650,4379895,4379200,4382293,4378952,1159,2182,3431,53
adsb_data_20251214_144517,True,True,True,4385717,4385717,106.57,2026-06-08T10:50:53.279042+00:00,4385717,4385705,4385717,277571,4383924,4382278,4385717,4382186,1806,1725,3411,42
adsb_data_20251214_152020,True,True,True,4383170,4383170,107.36,2026-06-08T10:52:41.896849+00:00,4383170,4383153,4383170,271558,4382653,4380641,4383170,4380530,2200,440,3332,51
adsb_data_20251214_155531,True,True,True,4383549,4383549,109.85,2026-06-08T10:54:32.814443+00:00,4383549,4383529,4383549,276701,4382535,4382215,4383549,4382109,492,948,3287,65
adsb_data_20251214_163031,True,True,True,4384034,4384034,87.29,2026-06-08T10:56:01.342646+00:00,4384034,4384016,4384034,284923,4382688,4381530,4384034,4381454,1274,1306,3294,54
adsb_data_20251214_170444,True,True,True,4382243,4382243,108.84,2026-06-08T10:57:51.402854+00:00,4382243,4382221,4382243,276576,4381490,4379726,4382243,4379667,1838,738,3241,55
adsb_data_20251214_173812,True,True,True,4383788,4383788,110.05,2026-06-08T10:59:42.868794+00:00,4383788,4383778,4383788,295897,4382971,4382772,4383788,4382659,405,724,3216,36
adsb_data_20251214_181220,True,True,True,4385179,4385179,158.1,2026-06-08T11:02:22.636032+00:00,4385179,4385168,4385179,285834,4384381,4383683,4385179,4383537,968,674,3095,34
adsb_data_20251214_184603,True,True,True,4382744,4382744,79.79,2026-06-08T11:03:43.719753+00:00,4382744,4382727,4382744,288757,4382412,4381908,4382744,4381850,586,308,3058,41
adsb_data_20251214_191906,True,True,True,4381021,4381021,81.05,2026-06-08T11:05:05.653606+00:00,4381021,4381002,4381021,290746,4380515,4380348,4381021,4380291,243,487,3021,39
adsb_data_20251214_195251,True,True,True,4381342,4381342,92.97,2026-06-08T11:06:39.972084+00:00,4381342,4381314,4381342,286136,4380072,4379400,4381342,4379336,744,1262,3003,33
adsb_data_20251214_202628,True,True,True,4381776,4381776,89.26,2026-06-08T11:08:10.520664+00:00,4381776,4381766,4381776,266066,4380775,4379370,4381776,4379325,1475,976,2903,36
adsb_data_20251214_210047,True,True,True,4381353,4381353,73.96,2026-06-08T11:09:25.402811+00:00,4381353,4381347,4381353,270641,4380130,4378338,4381353,4378317,1822,1214,2879,28
adsb_data_20251214_213455,True,True,True,4379521,4379521,79.25,2026-06-08T11:10:45.535090+00:00,4379521,4379501,4379521,250418,4377863,4376362,4379521,4376323,1539,1659,2724,27
adsb_data_20251214_220839,True,True,True,4375920,4375920,74.47,2026-06-08T11:12:00.836348+00:00,4375920,4375910,4375920,229160,4375634,4372380,4375920,4372351,3292,277,2495,32
adsb_data_20251214_224206,True,True,True,4374075,4374075,71.32,2026-06-08T11:13:12.996413+00:00,4374075,4374065,4374075,232829,4373954,4370986,4374075,4370956,3008,111,2188,21
adsb_data_20251214_231432,True,True,True,4371252,4371252,69.48,2026-06-08T11:14:23.316264+00:00,4371252,4371246,4371252,247682,4371125,4367147,4371252,4367113,4034,105,1832,14
adsb_data_20251214_234739,True,True,True,4371757,4371757,70.02,2026-06-08T11:15:34.206235+00:00,4371757,4371743,4371757,261225,4369967,4361985,4371757,4361927,8070,1760,1472,16
adsb_data_20251215_003545,True,True,True,4380048,4380048,68.45,2026-06-08T11:16:43.477365+00:00,4380048,4380037,4380048,231800,4375029,4367367,4380048,4367287,7800,4961,1108,14
adsb_data_20251215_015706,True,True,True,4386973,4386973,68.94,2026-06-08T11:17:53.252539+00:00,4386973,4386963,4386973,134927,4386604,4380392,4386973,4380276,6424,273,871,9
adsb_data_20251215_032827,True,True,True,4389648,4389648,68.67,2026-06-08T11:19:02.748360+00:00,4389648,4389636,4389648,130066,4388848,4373379,4389648,4373270,15663,715,873,7
adsb_data_20251215_045008,True,True,True,4389805,4389805,68.43,2026-06-08T11:20:12.013278+00:00,4389805,4389800,4389805,213059,4382068,4368931,4389805,4368789,13411,7605,991,26
adsb_data_20251215_062925,True,True,True,4406680,4406680,68.71,2026-06-08T11:21:21.486069+00:00,4406680,4406666,4406680,471022,4405918,4402614,4406680,4402395,3714,571,1648,28
adsb_data_20251215_073014,True,True,True,4398603,4398603,71.9,2026-06-08T11:22:34.238727+00:00,4398603,4398588,4398603,346254,4397655,4395057,4398603,4394812,3058,733,2167,38
adsb_data_20251215_080314,True,True,True,4389371,4389371,71.97,2026-06-08T11:23:46.971412+00:00,4389371,4389358,4389371,281804,4388478,4385758,4389371,4385673,2864,834,2676,36
adsb_data_20251215_083550,True,True,True,4387178,4387178,72.99,2026-06-08T11:25:00.725788+00:00,4387178,4387165,4387178,260278,4386093,4384805,4387178,4384699,1474,1005,3097,35
adsb_data_20251215_091042,True,True,True,4383819,4383819,72.97,2026-06-08T11:26:14.481873+00:00,4383819,4383808,4383819,267354,4383022,4380488,4383819,4380396,2696,727,3299,55
adsb_data_20251215_094524,True,True,True,4386560,4386560,75.07,2026-06-08T11:27:30.394336+00:00,4386560,4386547,4386560,280532,4385539,4380679,4386560,4380576,5040,944,3356,50
